,code,lon,lat
0,101001,150.9669272,-33.84169335
1,102001,149.22022880000003,-35.36641757
2,102002,151.42876809999998,-33.36600716
3,102003,153.5295947,-28.22236937
4,102004,151.6772346,-32.95099103
5,102005,150.8460462,-34.47148985
6,111001,146.9488275,-36.05031132
7,111002,153.0957382,-30.31229775
8,111003,151.5871754,-32.75008972
9,201001,145.0770243,-37.89253777
10,203001,143.8417196,-37.56650124
11,203002,144.285135,-36.75669017
12,203003,144.3573345,-38.16573766
13,211001,146.8823129,-36.12244957
14,211002,144.580835,-37.69401855
15,301001,153.01201609999998,-27.47484321
16,302001,153.350817,-27.97199076
17,302002,153.06921609999998,-26.61830059
18,303001,145.7207678,-16.89785818
19,303002,151.93043830000002,-27.56750198
20,303003,146.7467905,-19.275347399999998
21,311001,152.32319280000002,-24.88908346
22,311002,152.8129816,-25.29166338
23,311003,149.1749889,-21.10276848
24,311004,150.5142407,-23.34540628
25,401001,138.58852180000002,-34.92056636
26,501001,115.8722629,-32.03934689
27,511001,115.67563009999999,-33.33903827
28,603001,147.34902350000002,-42.84653321
29,611001,147.1371575,-41.4398135
30,703001,130.9342033,-12.44358785
31,802001,149.1066535,-35.30277922
